snapshot,case_id,branch,source_dataset,D,H,W,vx,vy,vz,ct_path_resolved
preprocessed,0004c4e54c,normal,RSNA-Normal,28,512,512,0.4882810115814209,0.4882810115814209,5.287567138671875,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Preprocessed/Normal Scans/ct_scans/0004c4e54c.nii.gz
preprocessed,000a935543,normal,RSNA-Normal,32,512,512,0.4882810115814209,0.4882810115814209,5.102493762969971,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Preprocessed/Normal Scans/ct_scans/000a935543.nii.gz
preprocessed,000f6fd7db,normal,RSNA-Normal,32,512,512,0.47265625,0.47265625,5.0,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Preprocessed/Normal Scans/ct_scans/000f6fd7db.nii.gz
preprocessed,004a886d8d,normal,RSNA-Normal,29,512,512,0.4375,0.4375,5.0,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Preprocessed/Normal Scans/ct_scans/004a886d8d.nii.gz
preprocessed,004d738431,normal,RSNA-Normal,28,512,512,0.4882810115814209,0.4882810115814209,5.0,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Preprocessed/Normal Scans/ct_scans/004d738431.nii.gz
preprocessed,004ff2a4c8,normal,RSNA-Normal,38,512,512,0.453125,0.453125,5.0,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Preprocessed/Normal Scans/ct_scans/004ff2a4c8.nii.gz
preprocessed,008d5bbf7b,normal,RSNA-Normal,38,512,512,0.48828125,0.48828125,5.0,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Preprocessed/Normal Scans/ct_scans/008d5bbf7b.nii.gz
preprocessed,009a66a555,normal,RSNA-Normal,33,512,512,0.416015625,0.416015625,5.0,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Preprocessed/Normal Scans/ct_scans/009a66a555.nii.gz
preprocessed,009e4a17fa,normal,RSNA-Normal,28,512,512,0.4882810115814209,0.4882810115814209,5.0,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Preprocessed/Normal Scans/ct_scans/009e4a17fa.nii.gz
preprocessed,00aa61e004,normal,RSNA-Normal,32,512,512,0.4882810115814209,0.4882810115814209,5.0,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Preprocessed/Normal Scans/ct_scans/00aa61e004.nii.gz
preprocessed,00ac63b117,normal,RSNA-Normal,37,512,512,0.48828125,0.48828125,5.0,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Preprocessed/Normal Scans/ct_scans/00ac63b117.nii.gz
preprocessed,00b1e01ec6,normal,RSNA-Normal,28,512,512,0.4882810115814209,0.4882810115814209,5.3737406730651855,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Preprocessed/Normal Scans/ct_scans/00b1e01ec6.nii.gz
