source_dataset,original_stem,final_case_id,ct_src,mask_src,ct_dst,mask_dst
BHSD,ID_0237f3c9_ID_40015688b9,ID_0237f3c9_ID_40015688b9,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_0237f3c9_ID_40015688b9.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_0237f3c9_ID_40015688b9.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_0237f3c9_ID_40015688b9.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_0237f3c9_ID_40015688b9.nii.gz
BHSD,ID_029ebbea_ID_563afa0901,ID_029ebbea_ID_563afa0901,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_029ebbea_ID_563afa0901.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_029ebbea_ID_563afa0901.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_029ebbea_ID_563afa0901.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_029ebbea_ID_563afa0901.nii.gz
BHSD,ID_02b882cc_ID_a4892e60ae,ID_02b882cc_ID_a4892e60ae,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_02b882cc_ID_a4892e60ae.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_02b882cc_ID_a4892e60ae.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_02b882cc_ID_a4892e60ae.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_02b882cc_ID_a4892e60ae.nii.gz
BHSD,ID_02f779fb_ID_c4d7f33559,ID_02f779fb_ID_c4d7f33559,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_02f779fb_ID_c4d7f33559.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_02f779fb_ID_c4d7f33559.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_02f779fb_ID_c4d7f33559.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_02f779fb_ID_c4d7f33559.nii.gz
BHSD,ID_041e6601_ID_1fa1d20bba,ID_041e6601_ID_1fa1d20bba,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_041e6601_ID_1fa1d20bba.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_041e6601_ID_1fa1d20bba.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_041e6601_ID_1fa1d20bba.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_041e6601_ID_1fa1d20bba.nii.gz
BHSD,ID_0492041f_ID_b4fcf2f799,ID_0492041f_ID_b4fcf2f799,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_0492041f_ID_b4fcf2f799.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_0492041f_ID_b4fcf2f799.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_0492041f_ID_b4fcf2f799.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_0492041f_ID_b4fcf2f799.nii.gz
BHSD,ID_05331dc6_ID_47213b7e2e,ID_05331dc6_ID_47213b7e2e,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_05331dc6_ID_47213b7e2e.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_05331dc6_ID_47213b7e2e.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_05331dc6_ID_47213b7e2e.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_05331dc6_ID_47213b7e2e.nii.gz
BHSD,ID_07365cde_ID_8e661b8f07,ID_07365cde_ID_8e661b8f07,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_07365cde_ID_8e661b8f07.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_07365cde_ID_8e661b8f07.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_07365cde_ID_8e661b8f07.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_07365cde_ID_8e661b8f07.nii.gz
BHSD,ID_089596a9_ID_ea71b57820,ID_089596a9_ID_ea71b57820,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_089596a9_ID_ea71b57820.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_089596a9_ID_ea71b57820.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_089596a9_ID_ea71b57820.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_089596a9_ID_ea71b57820.nii.gz
BHSD,ID_09b33fc4_ID_bcd322d4ed,ID_09b33fc4_ID_bcd322d4ed,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_09b33fc4_ID_bcd322d4ed.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_09b33fc4_ID_bcd322d4ed.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_09b33fc4_ID_bcd322d4ed.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_09b33fc4_ID_bcd322d4ed.nii.gz
