case_id,branch,source_dataset,ct_reader_backend,mask_reader_backend,hu_action,resample_action,status,error
0004c4e54c,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
000a935543,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
000f6fd7db,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
004a886d8d,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
004d738431,normal,RSNA-Normal,sitk,sitk,no_offset_fix,resampled_to_5mm,ok,
004ff2a4c8,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
008d5bbf7b,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
009a66a555,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
009e4a17fa,normal,RSNA-Normal,sitk,sitk,no_offset_fix,resampled_to_5mm,ok,
00aa61e004,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
00ac63b117,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
00b1e01ec6,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
00b485fdf0,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
00c6ddbb96,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
00ceec7d79,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
00d1face22,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
010ef4ce03,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
011a38f377,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
011e0389de,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
012ad451f8,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
012c911183,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
012f924b9b,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
015b70186d,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
015d1f63c4,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
017ad7ed20,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
017e5bb41e,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
018e61f2ae,normal,RSNA-Normal,sitk,sitk,no_offset_fix,resampled_to_5mm,ok,
01ac01af23,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
01b8469252,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
01bddfd70f,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
01c1788df8,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
01ca310c19,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
01ce997fa7,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
01cf9a5127,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
01e9a7dc1b,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
021c6184c6,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
021da20807,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
024b71a40e,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
027abcbc7b,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
027e12b63c,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
02b0b95e07,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
02b616db2f,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
02cbb6b255,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
02f53f2f4e,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
030d276061,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
030da47456,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
030ed13676,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
031ff3ef0c,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
032ebd5f51,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
035cb6ad21,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
03af2145f9,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
03b318a64e,normal,RSNA-Normal,sitk,sitk,no_offset_fix,resampled_to_5mm,ok,
03bf3046d0,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
03e076551f,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
