case_id,branch,source_dataset,ct_shape,mask_shape,ct_sx,ct_sy,ct_sz,hu_min,hu_max,hu_p01,hu_p05,hu_p50,hu_p95,hu_p99,looks_like_HU,needs_offset_fix,mask_empty,ct_reader_backend,mask_reader_backend,recommendation,status,error
0004c4e54c,normal,RSNA-Normal,"(28, 512, 512)","(28, 512, 512)",0.4882810115814209,0.4882810115814209,5.287567138671875,-3024.0,1985.0,-3024.0,-3024.0,-970.0,711.0,1422.0,True,False,True,sitk,sitk,keep_original,ok,
000a935543,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.4882810115814209,0.4882810115814209,5.102493762969971,-3024.0,2172.0,-3024.0,-3024.0,-980.0,511.0,1367.0,True,False,True,sitk,sitk,keep_original,ok,
000f6fd7db,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.47265625,0.47265625,5.0,-1021.0,1595.0,-1009.0,-1006.0,-968.0,330.0,783.0,True,False,True,sitk,sitk,keep_original,ok,
004a886d8d,normal,RSNA-Normal,"(29, 512, 512)","(29, 512, 512)",0.4375,0.4375,5.0,-1023.0,1710.0,-1014.0,-1011.0,-956.0,572.0,1128.0,True,False,True,sitk,sitk,keep_original,ok,
004d738431,normal,RSNA-Normal,"(36, 512, 512)","(36, 512, 512)",0.4882810115814209,0.4882810115814209,3.884657144546509,-3024.0,1925.0,-3024.0,-3024.0,-988.0,510.0,1423.0,True,False,True,sitk,sitk,resample_to_5mm,ok,
004ff2a4c8,normal,RSNA-Normal,"(38, 512, 512)","(38, 512, 512)",0.453125,0.453125,5.0,-1024.0,1517.0,-1012.0,-1009.0,-978.0,481.0,917.0,True,False,True,sitk,sitk,keep_original,ok,
008d5bbf7b,normal,RSNA-Normal,"(38, 512, 512)","(38, 512, 512)",0.48828125,0.48828125,5.0,-1024.0,2309.0,-1009.0,-1006.0,-973.0,334.0,903.570000000007,True,False,True,sitk,sitk,keep_original,ok,
009a66a555,normal,RSNA-Normal,"(33, 512, 512)","(33, 512, 512)",0.416015625,0.416015625,5.0,-1022.0,1618.0,-1011.0,-1006.0,-930.0,528.0,1140.0,True,False,True,sitk,sitk,keep_original,ok,
009e4a17fa,normal,RSNA-Normal,"(36, 512, 512)","(36, 512, 512)",0.4882810115814209,0.4882810115814209,3.9133429527282715,-3024.0,2096.0,-3024.0,-3024.0,-975.0,391.0,1354.0,True,False,True,sitk,sitk,resample_to_5mm,ok,
00aa61e004,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.4882810115814209,0.4882810115814209,5.0,-3024.0,2090.0,-3024.0,-3024.0,-982.0,248.0,1179.0,True,False,True,sitk,sitk,keep_original,ok,
00ac63b117,normal,RSNA-Normal,"(37, 512, 512)","(37, 512, 512)",0.48828125,0.48828125,5.0,-1024.0,2976.0,-1011.0,-1006.0,-993.0,343.0,904.0,True,False,True,sitk,sitk,keep_original,ok,
00b1e01ec6,normal,RSNA-Normal,"(28, 512, 512)","(28, 512, 512)",0.4882810115814209,0.4882810115814209,5.3737406730651855,-3024.0,1878.0,-3024.0,-3024.0,-979.0,628.0,1164.0,True,False,True,sitk,sitk,keep_original,ok,
00b485fdf0,normal,RSNA-Normal,"(35, 512, 512)","(35, 512, 512)",0.48828125,0.48828125,4.999998092651367,-1017.0,1570.0,-1007.0,-1004.0,-865.0,231.0,636.0,True,False,True,sitk,sitk,keep_original,ok,
00c6ddbb96,normal,RSNA-Normal,"(33, 512, 512)","(33, 512, 512)",0.427734375,0.427734375,5.0,-1022.0,1580.0,-1011.0,-1006.0,-931.0,413.0,874.0,True,False,True,sitk,sitk,keep_original,ok,
00ceec7d79,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.431640625,0.431640625,5.0,-1024.0,1648.0,-1010.0,-1006.0,-967.0,526.8499999999767,1143.0,True,False,True,sitk,sitk,keep_original,ok,
00d1face22,normal,RSNA-Normal,"(28, 512, 512)","(28, 512, 512)",0.4882810115814209,0.4882810115814209,5.048793315887451,-3024.0,2086.0,-3024.0,-3024.0,-964.0,311.0,1108.0,True,False,True,sitk,sitk,keep_original,ok,
010ef4ce03,normal,RSNA-Normal,"(31, 512, 512)","(31, 512, 512)",0.431640625,0.431640625,5.0,-1024.0,1551.0,-1009.0,-1005.0,-961.0,554.0,1083.0,True,False,True,sitk,sitk,keep_original,ok,
011a38f377,normal,RSNA-Normal,"(34, 512, 512)","(34, 512, 512)",0.4609375,0.4609375,5.0,-1020.0,1540.0,-1010.0,-1005.0,-967.0,342.0,812.0,True,False,True,sitk,sitk,keep_original,ok,
011e0389de,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.4882810115814209,0.4882810115814209,5.0,-3024.0,2092.0,-3024.0,-3024.0,-986.0,597.0,1448.0,True,False,True,sitk,sitk,keep_original,ok,
012ad451f8,normal,RSNA-Normal,"(33, 512, 512)","(33, 512, 512)",0.48828125,0.48828125,5.0,-1020.0,1816.0,-1012.0,-1006.0,-966.0,688.0,1221.0,True,False,True,sitk,sitk,keep_original,ok,
012c911183,normal,RSNA-Normal,"(40, 512, 512)","(40, 512, 512)",0.4882810115814209,0.4882810115814209,4.071640968322754,-3024.0,2234.0,-3024.0,-3024.0,-962.0,755.0,1528.0,True,False,True,sitk,sitk,keep_original,ok,
012f924b9b,normal,RSNA-Normal,"(33, 512, 512)","(33, 512, 512)",0.416015625,0.416015625,5.0,-1024.0,1701.0,-1011.0,-1006.0,-881.0,548.0,1053.0,True,False,True,sitk,sitk,keep_original,ok,
015b70186d,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.4882810115814209,0.4882810115814209,5.0,-3024.0,1922.0,-3024.0,-3024.0,-978.0,307.0,1223.0,True,False,True,sitk,sitk,keep_original,ok,
015d1f63c4,normal,RSNA-Normal,"(34, 512, 512)","(34, 512, 512)",0.48828125,0.48828125,5.0,-1024.0,1582.0,-1010.0,-1006.0,-971.0,386.0,1031.0,True,False,True,sitk,sitk,keep_original,ok,
