branch,stem,status,ct_out,mask_out,ct_shape,mask_shape,ct_dtype,mask_dtype,error
Segmented Scans,001,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/001.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/001.npy,"(29, 512, 512)","(29, 512, 512)",float32,uint8,
Segmented Scans,002,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/002.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/002.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,003,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/003.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/003.npy,"(34, 512, 512)","(34, 512, 512)",float32,uint8,
Segmented Scans,004,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/004.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/004.npy,"(29, 512, 512)","(29, 512, 512)",float32,uint8,
Segmented Scans,005,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/005.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/005.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,006,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/006.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/006.npy,"(31, 512, 512)","(31, 512, 512)",float32,uint8,
Segmented Scans,007,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/007.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/007.npy,"(34, 512, 512)","(34, 512, 512)",float32,uint8,
Segmented Scans,008,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/008.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/008.npy,"(31, 512, 512)","(31, 512, 512)",float32,uint8,
Segmented Scans,009,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/009.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/009.npy,"(36, 512, 512)","(36, 512, 512)",float32,uint8,
Segmented Scans,010,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/010.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/010.npy,"(33, 512, 512)","(33, 512, 512)",float32,uint8,
Segmented Scans,011,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/011.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/011.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,012,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/012.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/012.npy,"(30, 512, 512)","(30, 512, 512)",float32,uint8,
Segmented Scans,013,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/013.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/013.npy,"(29, 512, 512)","(29, 512, 512)",float32,uint8,
Segmented Scans,014,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/014.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/014.npy,"(29, 512, 512)","(29, 512, 512)",float32,uint8,
Segmented Scans,015,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/015.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/015.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,016,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/016.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/016.npy,"(27, 512, 512)","(27, 512, 512)",float32,uint8,
Segmented Scans,017,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/017.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/017.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,018,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/018.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/018.npy,"(29, 512, 512)","(29, 512, 512)",float32,uint8,
Segmented Scans,019,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/019.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/019.npy,"(35, 512, 512)","(35, 512, 512)",float32,uint8,
Segmented Scans,01c1a0169f,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/01c1a0169f.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/01c1a0169f.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,020,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/020.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/020.npy,"(29, 512, 512)","(29, 512, 512)",float32,uint8,
Segmented Scans,021,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/021.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/021.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,022,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/022.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/022.npy,"(30, 512, 512)","(30, 512, 512)",float32,uint8,
Segmented Scans,023,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/023.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/023.npy,"(24, 512, 512)","(24, 512, 512)",float32,uint8,
Segmented Scans,024,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/024.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/024.npy,"(31, 512, 512)","(31, 512, 512)",float32,uint8,
Segmented Scans,025,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/025.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/025.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,026,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/026.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/026.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,027,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/027.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/027.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,028,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/028.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/028.npy,"(30, 512, 512)","(30, 512, 512)",float32,uint8,
Segmented Scans,029,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/029.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/029.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,02a2bd8cc2,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/02a2bd8cc2.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/02a2bd8cc2.npy,"(39, 512, 512)","(39, 512, 512)",float32,uint8,
Segmented Scans,02bb3e7d9d,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/02bb3e7d9d.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/02bb3e7d9d.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,02cd74218f,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/02cd74218f.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/02cd74218f.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,02cf5aa3f6,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/02cf5aa3f6.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/02cf5aa3f6.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,02d57cd50b,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/02d57cd50b.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/02d57cd50b.npy,"(44, 512, 512)","(44, 512, 512)",float32,uint8,
Segmented Scans,02e8d2742f,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/02e8d2742f.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/02e8d2742f.npy,"(35, 512, 512)","(35, 512, 512)",float32,uint8,
