case_id,branch,source_dataset,file_ext,file_ext_current,file_ext_original_ct,file_ext_original_mask,ct_path,mask_path,status,reason
0004c4e54c,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/0004c4e54c.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/0004c4e54c.nii.gz,kept,
000a935543,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/000a935543.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/000a935543.nii.gz,kept,
000f6fd7db,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/000f6fd7db.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/000f6fd7db.nii.gz,kept,
004a886d8d,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/004a886d8d.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/004a886d8d.nii.gz,kept,
004d738431,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/004d738431.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/004d738431.nii.gz,kept,
004ff2a4c8,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/004ff2a4c8.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/004ff2a4c8.nii.gz,kept,
008d5bbf7b,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/008d5bbf7b.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/008d5bbf7b.nii.gz,kept,
009a66a555,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/009a66a555.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/009a66a555.nii.gz,kept,
009e4a17fa,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/009e4a17fa.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/009e4a17fa.nii.gz,kept,
00aa61e004,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/00aa61e004.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/00aa61e004.nii.gz,kept,
00ac63b117,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/00ac63b117.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/00ac63b117.nii.gz,kept,
00b1e01ec6,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/00b1e01ec6.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/00b1e01ec6.nii.gz,kept,
00b485fdf0,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/00b485fdf0.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/00b485fdf0.nii.gz,kept,
00c6ddbb96,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/00c6ddbb96.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/00c6ddbb96.nii.gz,kept,
00ceec7d79,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/00ceec7d79.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/00ceec7d79.nii.gz,kept,
00d1face22,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/00d1face22.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/00d1face22.nii.gz,kept,
010ef4ce03,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/010ef4ce03.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/010ef4ce03.nii.gz,kept,
011a38f377,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/011a38f377.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/011a38f377.nii.gz,kept,
011e0389de,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/011e0389de.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/011e0389de.nii.gz,kept,
012ad451f8,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/012ad451f8.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/012ad451f8.nii.gz,kept,
012c911183,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/012c911183.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/012c911183.nii.gz,kept,
012f924b9b,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/012f924b9b.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/012f924b9b.nii.gz,kept,
015b70186d,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/015b70186d.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/015b70186d.nii.gz,kept,
015d1f63c4,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/015d1f63c4.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/015d1f63c4.nii.gz,kept,
017ad7ed20,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/017ad7ed20.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/017ad7ed20.nii.gz,kept,
017e5bb41e,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/017e5bb41e.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/017e5bb41e.nii.gz,kept,
018e61f2ae,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/018e61f2ae.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/018e61f2ae.nii.gz,kept,
01ac01af23,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/01ac01af23.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/01ac01af23.nii.gz,kept,
01b8469252,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/01b8469252.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/01b8469252.nii.gz,kept,
01bddfd70f,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/01bddfd70f.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/01bddfd70f.nii.gz,kept,
01c1788df8,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/01c1788df8.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/01c1788df8.nii.gz,kept,
01ca310c19,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/01ca310c19.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/01ca310c19.nii.gz,kept,
01ce997fa7,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/01ce997fa7.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/01ce997fa7.nii.gz,kept,
01cf9a5127,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/01cf9a5127.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/01cf9a5127.nii.gz,kept,
01e9a7dc1b,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/01e9a7dc1b.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/01e9a7dc1b.nii.gz,kept,
021c6184c6,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/021c6184c6.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/021c6184c6.nii.gz,kept,
021da20807,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/021da20807.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/021da20807.nii.gz,kept,
024b71a40e,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/024b71a40e.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/024b71a40e.nii.gz,kept,
027abcbc7b,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/027abcbc7b.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/027abcbc7b.nii.gz,kept,
027e12b63c,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/027e12b63c.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/027e12b63c.nii.gz,kept,
02b0b95e07,normal,RSNA-normal,nii.gz,nii.gz,,,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/02b0b95e07.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/02b0b95e07.nii.gz,kept,
